gender,age_range,school_location,school_type,primary_pathway,cbc_experience_years,largest_class_size,Pedagogical_Mean,Digital_Mean,Resource_Mean,Training_Mean
Female,20-29,Rural,Public Day,Social Sciences,2-3 years,30-39,3.7142857142857144,2.111111111111111,3.1666666666666665,3.3333333333333335
Female,60+,Urban,Public Day,Social Sciences,2-3 years,30-39,4.142857142857143,2.7777777777777777,2.0,3.1666666666666665
Male,40-49,Peri-urban,Public County,Social Sciences,4-5 years,40-49,4.285714285714286,1.7777777777777777,3.5,5.0
Male,50-59,Urban,Public Day,STEM,2-3 years,50-59,4.142857142857143,2.7777777777777777,3.0,3.6666666666666665
Female,30-39,Urban,Private,Arts & Sports,4-5 years,50-59,3.0,3.6666666666666665,3.6666666666666665,4.0
Female,40-49,Urban,Public Day,STEM,2-3 years,50-59,4.0,3.3333333333333335,2.3333333333333335,2.0
Female,40-49,Rural,Public Day,Social Sciences,4-5 years,30-39,4.0,1.3333333333333333,1.5,2.3333333333333335
Male,40-49,Urban,Public County,STEM,2-3 years,40-49,2.7142857142857144,2.4444444444444446,2.6666666666666665,2.6666666666666665
Female,40-49,Urban,Private,Arts & Sports,2-3 years,50-59,2.857142857142857,4.444444444444445,4.166666666666667,3.8333333333333335
Female,40-49,Urban,Public County,STEM,2-3 years,40-49,3.0,3.0,2.0,3.3333333333333335
Female,30-39,Urban,Public County,STEM,4-5 years,30-39,3.5714285714285716,2.4444444444444446,2.8333333333333335,3.5
Male,30-39,Rural,Public County,STEM,More than 5 years,40-49,4.857142857142857,1.5555555555555556,1.8333333333333333,1.0
Female,40-49,Peri-urban,Public National,STEM,First year,30-39,3.0,3.0,2.5,3.6666666666666665
Male,30-39,Rural,Private,STEM,First year,20-29,4.571428571428571,3.111111111111111,3.1666666666666665,5.0
Male,40-49,Urban,Public County,Social Sciences,More than 5 years,50-59,2.142857142857143,2.888888888888889,2.1666666666666665,1.0
Female,30-39,Urban,Public County,Social Sciences,2-3 years,50-59,3.142857142857143,3.5555555555555554,3.5,4.0
Male,40-49,Peri-urban,Public Day,STEM,2-3 years,30-39,3.142857142857143,3.6666666666666665,3.0,3.1666666666666665
Male,40-49,Urban,Public County,STEM,2-3 years,20-29,3.142857142857143,1.8888888888888888,1.8333333333333333,3.0
Male,30-39,Peri-urban,Public National,Arts & Sports,First year,50-59,2.5714285714285716,2.7777777777777777,2.6666666666666665,3.1666666666666665
Female,20-29,Urban,Public Day,Social Sciences,4-5 years,30-39,3.142857142857143,3.2222222222222223,3.5,1.0
Female,20-29,Peri-urban,Public Day,Social Sciences,4-5 years,40-49,3.0,2.111111111111111,1.1666666666666667,3.6666666666666665
Male,40-49,Urban,Public County,Social Sciences,2-3 years,20-29,2.7142857142857144,3.6666666666666665,3.5,3.1666666666666665
Female,50-59,Rural,Public Day,STEM,2-3 years,30-39,2.0,2.111111111111111,3.0,1.0
Female,20-29,Rural,Public County,STEM,4-5 years,50-59,3.0,1.5555555555555556,2.6666666666666665,1.0
Male,40-49,Rural,Public County,STEM,First year,50-59,3.142857142857143,2.7777777777777777,4.0,3.5
Female,30-39,Urban,Public County,Arts & Sports,4-5 years,30-39,3.142857142857143,2.6666666666666665,2.0,2.3333333333333335
Female,30-39,Rural,Public County,Arts & Sports,First year,40-49,3.5714285714285716,2.888888888888889,2.8333333333333335,3.5
Female,50-59,Rural,Public Day,Social Sciences,2-3 years,30-39,3.0,1.7777777777777777,2.3333333333333335,3.5
Male,30-39,Urban,Public Day,STEM,More than 5 years,20-29,2.4285714285714284,3.4444444444444446,2.0,3.6666666666666665
Female,30-39,Urban,Public County,STEM,2-3 years,60+,4.571428571428571,3.4444444444444446,3.0,3.0
Female,20-29,Rural,Public County,STEM,2-3 years,50-59,4.0,2.6666666666666665,3.5,2.6666666666666665
Male,20-29,Urban,Public Day,Social Sciences,2-3 years,40-49,2.0,3.111111111111111,3.1666666666666665,3.8333333333333335
Male,30-39,Rural,Public County,STEM,2-3 years,50-59,1.8571428571428572,1.2222222222222223,3.6666666666666665,2.8333333333333335
Male,20-29,Urban,Public County,Arts & Sports,First year,50-59,2.4285714285714284,2.4444444444444446,2.3333333333333335,3.8333333333333335
Male,40-49,Rural,Private,STEM,More than 5 years,50-59,4.285714285714286,3.111111111111111,3.8333333333333335,3.5
Female,30-39,Urban,Public Day,Arts & Sports,4-5 years,20-29,2.857142857142857,4.222222222222222,1.0,3.8333333333333335
Male,40-49,Rural,Private,Social Sciences,2-3 years,30-39,3.857142857142857,3.111111111111111,3.0,3.8333333333333335
Male,30-39,Urban,Public County,Social Sciences,2-3 years,50-59,4.857142857142857,3.6666666666666665,1.0,2.1666666666666665
Female,30-39,Urban,Public Day,Social Sciences,First year,40-49,2.7142857142857144,2.5555555555555554,2.0,3.3333333333333335
Male,40-49,Urban,Public County,Social Sciences,First year,60+,3.0,3.0,3.1666666666666665,1.0
Female,60+,Peri-urban,Public County,Social Sciences,2-3 years,50-59,3.0,2.7777777777777777,2.6666666666666665,2.8333333333333335
Male,20-29,Urban,Public County,Social Sciences,4-5 years,60+,2.5714285714285716,3.0,3.0,2.8333333333333335
Male,50-59,Rural,Public County,Social Sciences,2-3 years,30-39,3.857142857142857,1.3333333333333333,3.5,3.1666666666666665
Male,40-49,Urban,Public County,Arts & Sports,4-5 years,50-59,3.857142857142857,3.0,3.6666666666666665,4.0
Male,40-49,Urban,Public County,Social Sciences,First year,40-49,3.142857142857143,2.4444444444444446,2.1666666666666665,1.8333333333333333
Male,40-49,Rural,Public National,Social Sciences,2-3 years,60+,4.142857142857143,2.2222222222222223,2.8333333333333335,3.0
Female,20-29,Rural,Public Day,Arts & Sports,First year,30-39,3.142857142857143,1.6666666666666667,3.5,4.5
Female,20-29,Peri-urban,Public County,STEM,2-3 years,40-49,4.0,4.111111111111111,3.0,4.666666666666667
Male,40-49,Peri-urban,Public National,STEM,First year,50-59,3.5714285714285716,3.7777777777777777,3.8333333333333335,4.0
Female,30-39,Rural,Public County,Social Sciences,More than 5 years,40-49,3.857142857142857,1.6666666666666667,2.8333333333333335,3.1666666666666665
Female,50-59,Rural,Public County,Social Sciences,First year,40-49,3.0,1.1111111111111112,2.5,4.166666666666667
Female,30-39,Rural,Public Day,Arts & Sports,More than 5 years,60+,4.0,3.4444444444444446,2.8333333333333335,3.6666666666666665
Male,20-29,Urban,Public National,Social Sciences,2-3 years,40-49,3.142857142857143,3.3333333333333335,2.8333333333333335,2.3333333333333335
Male,40-49,Peri-urban,Public Day,Social Sciences,More than 5 years,50-59,4.0,3.6666666666666665,3.8333333333333335,2.6666666666666665
Male,30-39,Rural,Public National,Social Sciences,2-3 years,20-29,2.2857142857142856,2.4444444444444446,3.0,4.0
Female,40-49,Rural,Public County,STEM,More than 5 years,50-59,4.571428571428571,2.111111111111111,2.6666666666666665,1.0
Female,40-49,Urban,Public Day,Social Sciences,First year,50-59,1.5714285714285714,2.888888888888889,2.3333333333333335,1.0
Male,50-59,Urban,Public Day,Arts & Sports,4-5 years,40-49,3.2857142857142856,1.8888888888888888,3.5,2.5
Male,40-49,Peri-urban,Public National,STEM,More than 5 years,20-29,4.142857142857143,3.2222222222222223,3.8333333333333335,2.8333333333333335
Female,40-49,Urban,Public Day,Social Sciences,First year,40-49,2.142857142857143,3.111111111111111,2.5,2.8333333333333335
Female,40-49,Rural,Public County,Social Sciences,First year,20-29,3.0,2.7777777777777777,3.3333333333333335,1.0
Female,50-59,Urban,Public Day,STEM,2-3 years,20-29,3.2857142857142856,3.3333333333333335,1.6666666666666667,4.333333333333333
Female,30-39,Peri-urban,Public Day,STEM,More than 5 years,50-59,3.4285714285714284,3.7777777777777777,3.8333333333333335,4.833333333333333
Male,20-29,Urban,Public Day,Arts & Sports,2-3 years,30-39,3.5714285714285716,2.6666666666666665,1.1666666666666667,2.5
Female,30-39,Peri-urban,Private,STEM,2-3 years,30-39,3.142857142857143,2.6666666666666665,5.0,4.166666666666667
Female,30-39,Urban,Public County,STEM,First year,50-59,1.2857142857142858,2.3333333333333335,3.8333333333333335,2.6666666666666665
Male,40-49,Peri-urban,Public Day,STEM,First year,20-29,1.2857142857142858,3.3333333333333335,2.5,2.6666666666666665
Female,40-49,Rural,Public County,Social Sciences,4-5 years,40-49,3.142857142857143,1.5555555555555556,2.5,3.8333333333333335
Female,40-49,Urban,Public National,Social Sciences,First year,30-39,1.8571428571428572,3.2222222222222223,2.6666666666666665,3.5
Male,20-29,Rural,Public National,Social Sciences,2-3 years,40-49,4.0,1.5555555555555556,2.6666666666666665,1.0
Female,40-49,Urban,Public County,STEM,More than 5 years,50-59,3.142857142857143,3.4444444444444446,3.8333333333333335,3.6666666666666665
Female,30-39,Urban,Public Day,Arts & Sports,First year,50-59,3.0,1.4444444444444444,3.0,1.0
Female,40-49,Peri-urban,Public County,STEM,2-3 years,30-39,2.4285714285714284,4.222222222222222,2.5,3.3333333333333335
Male,40-49,Rural,Public County,STEM,First year,20-29,4.0,2.111111111111111,3.3333333333333335,1.6666666666666667
Male,30-39,Urban,Public National,Social Sciences,2-3 years,20-29,2.2857142857142856,3.7777777777777777,4.166666666666667,3.0
Female,20-29,Urban,Public County,STEM,First year,40-49,4.428571428571429,1.6666666666666667,1.6666666666666667,4.333333333333333
Male,20-29,Urban,Private,Arts & Sports,4-5 years,60+,3.142857142857143,3.6666666666666665,3.5,3.1666666666666665
Female,50-59,Peri-urban,Public County,Arts & Sports,2-3 years,30-39,4.0,3.0,3.0,2.1666666666666665
Female,50-59,Urban,Public Day,STEM,2-3 years,30-39,3.142857142857143,3.3333333333333335,2.6666666666666665,3.0
Male,40-49,Peri-urban,Public Day,Arts & Sports,2-3 years,30-39,3.2857142857142856,1.5555555555555556,1.5,1.0
Female,20-29,Peri-urban,Public Day,Social Sciences,First year,50-59,2.4285714285714284,2.0,1.1666666666666667,4.166666666666667
Female,30-39,Urban,Public County,Arts & Sports,4-5 years,50-59,3.7142857142857144,2.0,2.6666666666666665,2.8333333333333335
Male,40-49,Urban,Public Day,STEM,2-3 years,50-59,3.7142857142857144,1.7777777777777777,2.8333333333333335,3.8333333333333335
Female,40-49,Peri-urban,Public County,Social Sciences,2-3 years,50-59,3.0,3.3333333333333335,2.1666666666666665,4.0
Female,20-29,Urban,Public Day,STEM,First year,40-49,3.7142857142857144,1.8888888888888888,3.5,1.1666666666666667
Female,20-29,Urban,Public County,Arts & Sports,2-3 years,30-39,4.428571428571429,2.0,1.5,3.8333333333333335
Female,40-49,Urban,Public County,STEM,First year,30-39,3.7142857142857144,2.6666666666666665,2.8333333333333335,2.8333333333333335
Female,30-39,Rural,Public National,Social Sciences,2-3 years,50-59,2.857142857142857,2.111111111111111,2.0,3.3333333333333335
Female,30-39,Rural,Public Day,STEM,First year,50-59,2.5714285714285716,1.7777777777777777,1.3333333333333333,3.8333333333333335
Female,20-29,Urban,Public County,STEM,4-5 years,40-49,3.857142857142857,2.2222222222222223,2.5,2.5
Female,40-49,Urban,Public County,Social Sciences,First year,50-59,3.0,2.888888888888889,4.0,1.0
Female,50-59,Peri-urban,Public County,Arts & Sports,4-5 years,50-59,3.5714285714285716,3.7777777777777777,3.1666666666666665,1.0
Male,60+,Rural,Private,Social Sciences,4-5 years,50-59,4.0,2.4444444444444446,4.0,3.5
Female,40-49,Rural,Public Day,Arts & Sports,First year,40-49,2.142857142857143,1.5555555555555556,2.8333333333333335,3.6666666666666665
Male,40-49,Rural,Public County,STEM,2-3 years,50-59,2.142857142857143,1.8888888888888888,2.3333333333333335,3.6666666666666665
Male,20-29,Rural,Public Day,Social Sciences,First year,30-39,4.714285714285714,1.7777777777777777,2.0,2.3333333333333335
Male,40-49,Rural,Public County,Social Sciences,2-3 years,50-59,3.0,1.3333333333333333,2.6666666666666665,1.0
Female,30-39,Urban,Public County,STEM,4-5 years,60+,3.7142857142857144,2.4444444444444446,3.0,4.166666666666667
Female,40-49,Urban,Private,Social Sciences,2-3 years,40-49,3.857142857142857,3.6666666666666665,3.6666666666666665,3.1666666666666665
Female,30-39,Rural,Public County,Social Sciences,2-3 years,50-59,2.142857142857143,2.7777777777777777,3.1666666666666665,3.0
Female,30-39,Rural,Public County,Social Sciences,First year,50-59,3.857142857142857,2.111111111111111,3.5,1.8333333333333333
Female,20-29,Peri-urban,Public County,Social Sciences,2-3 years,20-29,3.0,3.2222222222222223,1.8333333333333333,2.3333333333333335
Female,30-39,Urban,Public County,Social Sciences,First year,40-49,2.2857142857142856,3.2222222222222223,4.166666666666667,2.5
Female,20-29,Peri-urban,Public County,STEM,4-5 years,30-39,3.0,2.0,3.1666666666666665,2.5
Male,30-39,Peri-urban,Public County,STEM,2-3 years,60+,2.2857142857142856,2.888888888888889,4.666666666666667,1.0
Male,60+,Urban,Public County,Social Sciences,4-5 years,50-59,3.0,2.6666666666666665,1.8333333333333333,3.5
Female,30-39,Rural,Public County,STEM,First year,30-39,4.857142857142857,1.8888888888888888,2.5,1.8333333333333333
Female,40-49,Rural,Public County,STEM,2-3 years,30-39,3.857142857142857,1.3333333333333333,2.3333333333333335,3.3333333333333335
Male,50-59,Peri-urban,Public County,Social Sciences,2-3 years,40-49,2.857142857142857,2.4444444444444446,2.3333333333333335,2.6666666666666665
Male,60+,Rural,Public National,Social Sciences,First year,40-49,1.4285714285714286,2.6666666666666665,2.1666666666666665,2.0
Female,40-49,Rural,Public Day,STEM,2-3 years,20-29,2.0,2.6666666666666665,2.6666666666666665,2.5
Male,50-59,Rural,Public County,Social Sciences,4-5 years,40-49,3.4285714285714284,2.4444444444444446,1.5,3.1666666666666665
Female,30-39,Urban,Public Day,Social Sciences,4-5 years,40-49,4.0,3.2222222222222223,2.1666666666666665,3.1666666666666665
Female,30-39,Urban,Public Day,STEM,2-3 years,30-39,2.7142857142857144,1.7777777777777777,1.3333333333333333,5.0
Male,30-39,Rural,Public Day,Social Sciences,2-3 years,50-59,3.142857142857143,2.0,2.1666666666666665,4.333333333333333
Male,40-49,Rural,Public County,Social Sciences,First year,60+,1.8571428571428572,2.7777777777777777,2.1666666666666665,4.166666666666667
Female,40-49,Rural,Public County,Social Sciences,4-5 years,50-59,3.5714285714285716,1.4444444444444444,2.1666666666666665,1.0
Female,30-39,Rural,Public County,Social Sciences,First year,50-59,3.2857142857142856,2.111111111111111,2.1666666666666665,3.3333333333333335
Female,20-29,Urban,Public Day,STEM,More than 5 years,30-39,3.0,3.5555555555555554,2.1666666666666665,4.333333333333333
Female,40-49,Rural,Public County,Social Sciences,2-3 years,30-39,3.2857142857142856,2.6666666666666665,3.1666666666666665,2.1666666666666665
Male,20-29,Urban,Public Day,STEM,2-3 years,30-39,3.0,3.0,2.3333333333333335,2.0
Female,40-49,Peri-urban,Public Day,Arts & Sports,More than 5 years,50-59,4.285714285714286,2.6666666666666665,2.8333333333333335,3.1666666666666665
Female,40-49,Peri-urban,Public County,Arts & Sports,First year,60+,2.5714285714285716,3.4444444444444446,3.5,2.5
Female,40-49,Rural,Public County,Social Sciences,2-3 years,50-59,3.2857142857142856,1.8888888888888888,3.0,1.0
Male,40-49,Urban,Public Day,STEM,2-3 years,50-59,3.142857142857143,3.6666666666666665,2.8333333333333335,1.0
Female,50-59,Urban,Public County,STEM,First year,50-59,2.5714285714285716,2.888888888888889,2.8333333333333335,4.666666666666667
Female,30-39,Rural,Public National,STEM,2-3 years,40-49,2.2857142857142856,1.3333333333333333,2.6666666666666665,2.6666666666666665
Male,40-49,Rural,Public Day,Social Sciences,2-3 years,40-49,4.428571428571429,1.1111111111111112,2.0,2.3333333333333335
Male,40-49,Rural,Public County,STEM,4-5 years,20-29,4.0,2.111111111111111,2.6666666666666665,2.3333333333333335
Female,30-39,Urban,Private,Social Sciences,First year,20-29,2.2857142857142856,2.888888888888889,3.3333333333333335,3.6666666666666665
Male,20-29,Rural,Public Day,STEM,More than 5 years,50-59,3.857142857142857,1.8888888888888888,1.5,2.0
Male,30-39,Rural,Public Day,Arts & Sports,First year,40-49,4.0,2.2222222222222223,3.1666666666666665,5.0
Male,30-39,Urban,Public County,STEM,First year,40-49,3.7142857142857144,3.4444444444444446,3.3333333333333335,3.6666666666666665
Female,40-49,Rural,Public County,Arts & Sports,First year,40-49,2.2857142857142856,2.4444444444444446,2.5,4.5
Female,50-59,Urban,Public County,Arts & Sports,First year,30-39,2.0,2.0,2.8333333333333335,3.1666666666666665
Female,30-39,Rural,Public County,Social Sciences,First year,40-49,2.2857142857142856,3.2222222222222223,2.1666666666666665,1.6666666666666667
Male,20-29,Peri-urban,Public County,Social Sciences,More than 5 years,40-49,4.142857142857143,3.3333333333333335,3.6666666666666665,2.8333333333333335
Female,60+,Rural,Public County,Social Sciences,2-3 years,40-49,3.5714285714285716,1.5555555555555556,3.0,3.6666666666666665
Female,20-29,Peri-urban,Public County,Social Sciences,First year,50-59,3.0,2.888888888888889,3.0,3.5
Female,30-39,Rural,Public County,STEM,First year,40-49,2.2857142857142856,1.4444444444444444,2.1666666666666665,3.5
Female,40-49,Urban,Public Day,STEM,4-5 years,50-59,3.857142857142857,2.5555555555555554,2.1666666666666665,2.1666666666666665
Male,40-49,Rural,Public County,Social Sciences,4-5 years,50-59,3.142857142857143,1.2222222222222223,2.3333333333333335,3.8333333333333335
Female,20-29,Rural,Public National,Social Sciences,First year,50-59,2.857142857142857,1.4444444444444444,2.1666666666666665,3.0
Male,20-29,Urban,Public Day,Social Sciences,First year,50-59,1.1428571428571428,3.2222222222222223,1.5,2.6666666666666665
Female,20-29,Urban,Private,STEM,First year,30-39,2.5714285714285716,2.6666666666666665,4.0,2.8333333333333335
Male,40-49,Rural,Public County,STEM,First year,20-29,2.5714285714285716,3.0,3.1666666666666665,3.5
Male,40-49,Urban,Public County,STEM,First year,30-39,2.5714285714285716,3.4444444444444446,3.1666666666666665,1.0
Male,30-39,Urban,Public County,STEM,2-3 years,30-39,3.857142857142857,3.3333333333333335,2.0,2.5
Female,40-49,Rural,Private,STEM,First year,60+,3.0,3.888888888888889,3.8333333333333335,1.0
Male,50-59,Urban,Public Day,STEM,2-3 years,50-59,3.0,3.0,1.8333333333333333,1.0
Female,20-29,Peri-urban,Public Day,STEM,First year,20-29,2.2857142857142856,3.111111111111111,1.6666666666666667,1.3333333333333333
Male,30-39,Urban,Public County,Arts & Sports,More than 5 years,30-39,3.7142857142857144,2.3333333333333335,3.5,2.3333333333333335
Male,40-49,Rural,Public County,STEM,More than 5 years,30-39,3.0,2.3333333333333335,2.6666666666666665,3.1666666666666665
Female,30-39,Rural,Public National,Social Sciences,2-3 years,50-59,2.2857142857142856,1.6666666666666667,4.0,2.3333333333333335
Male,30-39,Rural,Public Day,STEM,2-3 years,50-59,3.142857142857143,1.1111111111111112,1.1666666666666667,1.8333333333333333
Male,40-49,Urban,Public Day,Arts & Sports,2-3 years,50-59,4.142857142857143,1.7777777777777777,2.5,1.0
Female,50-59,Peri-urban,Private,Social Sciences,2-3 years,60+,3.4285714285714284,3.0,3.8333333333333335,3.8333333333333335
Male,50-59,Rural,Public County,STEM,4-5 years,30-39,3.7142857142857144,2.3333333333333335,2.1666666666666665,3.0
Male,40-49,Peri-urban,Public National,Social Sciences,2-3 years,40-49,2.857142857142857,3.0,3.5,2.5
Male,40-49,Urban,Public County,STEM,4-5 years,30-39,3.7142857142857144,3.6666666666666665,3.6666666666666665,1.0
Female,30-39,Urban,Public Day,Social Sciences,More than 5 years,40-49,3.857142857142857,3.7777777777777777,1.3333333333333333,2.0
Female,40-49,Rural,Public Day,STEM,2-3 years,60+,4.142857142857143,1.0,2.8333333333333335,2.1666666666666665
Female,30-39,Urban,Public County,Arts & Sports,2-3 years,40-49,4.0,2.6666666666666665,2.5,2.5
Female,30-39,Rural,Public County,Social Sciences,First year,50-59,3.0,1.3333333333333333,2.8333333333333335,2.6666666666666665
Male,40-49,Urban,Public County,STEM,First year,40-49,4.142857142857143,3.4444444444444446,4.166666666666667,2.0
Male,40-49,Rural,Public County,Social Sciences,2-3 years,20-29,2.5714285714285716,1.2222222222222223,2.3333333333333335,1.0
Female,30-39,Peri-urban,Public Day,STEM,First year,20-29,3.0,3.4444444444444446,3.1666666666666665,1.8333333333333333
Male,50-59,Rural,Public County,Arts & Sports,4-5 years,40-49,3.2857142857142856,2.5555555555555554,2.5,1.0
Male,20-29,Peri-urban,Public Day,Social Sciences,First year,50-59,2.4285714285714284,3.0,4.0,4.5
Male,30-39,Rural,Public County,Social Sciences,2-3 years,30-39,4.0,1.6666666666666667,1.8333333333333333,1.0
Male,20-29,Rural,Public Day,STEM,2-3 years,50-59,2.5714285714285716,1.1111111111111112,2.1666666666666665,1.5
Female,40-49,Peri-urban,Public County,Arts & Sports,2-3 years,50-59,4.142857142857143,3.0,3.0,3.8333333333333335
Male,40-49,Peri-urban,Public Day,Social Sciences,2-3 years,40-49,3.2857142857142856,2.5555555555555554,3.0,1.0
Female,30-39,Rural,Public County,STEM,4-5 years,50-59,3.857142857142857,1.6666666666666667,2.0,2.5
Male,40-49,Urban,Public County,STEM,2-3 years,40-49,3.7142857142857144,2.888888888888889,2.1666666666666665,3.3333333333333335
Female,30-39,Rural,Public County,STEM,2-3 years,50-59,3.2857142857142856,2.2222222222222223,3.5,4.333333333333333
Male,40-49,Urban,Public County,Arts & Sports,First year,50-59,2.857142857142857,4.0,2.3333333333333335,1.6666666666666667
Male,30-39,Rural,Public County,STEM,2-3 years,60+,4.0,2.7777777777777777,3.0,2.1666666666666665
Female,30-39,Rural,Public County,Social Sciences,4-5 years,40-49,4.714285714285714,2.6666666666666665,1.1666666666666667,3.6666666666666665
Female,50-59,Peri-urban,Private,STEM,2-3 years,40-49,2.0,3.4444444444444446,3.0,2.0
Male,30-39,Peri-urban,Public County,STEM,4-5 years,30-39,3.4285714285714284,3.3333333333333335,3.5,3.5
Male,20-29,Rural,Public Day,Social Sciences,2-3 years,30-39,4.714285714285714,1.0,3.5,3.5
Male,40-49,Urban,Private,Arts & Sports,First year,50-59,2.2857142857142856,3.888888888888889,2.6666666666666665,3.1666666666666665
Male,60+,Peri-urban,Public National,Social Sciences,First year,60+,3.4285714285714284,3.0,3.3333333333333335,3.0
Male,30-39,Urban,Public Day,Arts & Sports,2-3 years,40-49,3.4285714285714284,2.6666666666666665,2.1666666666666665,1.0
Female,20-29,Rural,Public County,Social Sciences,2-3 years,30-39,3.0,1.7777777777777777,2.8333333333333335,2.0
Male,30-39,Urban,Public National,STEM,4-5 years,30-39,3.0,1.7777777777777777,3.3333333333333335,1.6666666666666667
Male,40-49,Urban,Public County,STEM,First year,40-49,4.0,3.3333333333333335,2.8333333333333335,1.0
Female,30-39,Peri-urban,Private,Social Sciences,2-3 years,30-39,3.4285714285714284,2.6666666666666665,5.0,4.333333333333333
Female,40-49,Urban,Public National,Arts & Sports,2-3 years,30-39,2.857142857142857,4.111111111111111,3.0,2.1666666666666665
Female,60+,Rural,Public County,Arts & Sports,2-3 years,50-59,3.857142857142857,1.5555555555555556,2.5,4.333333333333333
Male,30-39,Urban,Public County,STEM,First year,20-29,1.8571428571428572,3.111111111111111,2.0,3.1666666666666665
Male,30-39,Peri-urban,Public Day,STEM,First year,40-49,2.142857142857143,3.5555555555555554,4.0,3.8333333333333335
Female,30-39,Peri-urban,Public National,STEM,First year,50-59,1.0,3.3333333333333335,3.6666666666666665,2.0
Male,20-29,Urban,Public Day,Arts & Sports,First year,30-39,4.0,3.111111111111111,2.1666666666666665,5.0
Male,50-59,Urban,Public Day,Arts & Sports,First year,50-59,2.4285714285714284,2.111111111111111,2.8333333333333335,4.0
Female,30-39,Rural,Public Day,Social Sciences,First year,50-59,1.5714285714285714,2.0,3.5,3.0
Female,30-39,Urban,Private,STEM,2-3 years,50-59,2.142857142857143,5.0,3.8333333333333335,3.3333333333333335
Female,40-49,Rural,Public Day,Social Sciences,2-3 years,40-49,3.0,2.6666666666666665,1.6666666666666667,4.833333333333333
Male,30-39,Urban,Public National,Social Sciences,More than 5 years,40-49,3.2857142857142856,2.111111111111111,3.0,3.0
Male,40-49,Urban,Public County,STEM,First year,50-59,3.142857142857143,3.0,3.1666666666666665,2.6666666666666665
Female,20-29,Rural,Public County,Social Sciences,2-3 years,50-59,3.857142857142857,2.2222222222222223,1.8333333333333333,1.6666666666666667
Male,50-59,Urban,Public County,STEM,2-3 years,40-49,4.714285714285714,3.111111111111111,2.3333333333333335,2.0
Female,50-59,Peri-urban,Public County,STEM,First year,30-39,4.0,2.888888888888889,2.8333333333333335,1.0
Female,40-49,Urban,Public County,Arts & Sports,4-5 years,20-29,3.142857142857143,2.888888888888889,3.8333333333333335,1.0
Female,60+,Urban,Public County,Social Sciences,First year,20-29,2.4285714285714284,1.6666666666666667,4.333333333333333,2.8333333333333335
Male,30-39,Peri-urban,Private,Social Sciences,More than 5 years,40-49,4.0,4.777777777777778,4.666666666666667,3.0
Male,30-39,Rural,Public National,Social Sciences,4-5 years,20-29,3.142857142857143,1.8888888888888888,3.6666666666666665,4.666666666666667
Female,40-49,Rural,Private,STEM,2-3 years,40-49,3.7142857142857144,3.2222222222222223,4.333333333333333,1.0
Female,40-49,Urban,Public County,Social Sciences,2-3 years,50-59,2.4285714285714284,3.4444444444444446,1.8333333333333333,3.5
Female,30-39,Rural,Public Day,Social Sciences,2-3 years,30-39,4.0,1.8888888888888888,2.0,2.5
Male,30-39,Rural,Public Day,Social Sciences,2-3 years,50-59,2.2857142857142856,2.4444444444444446,1.3333333333333333,4.166666666666667
Male,20-29,Urban,Public County,Social Sciences,2-3 years,50-59,3.4285714285714284,3.7777777777777777,3.0,4.0
Female,30-39,Peri-urban,Public County,STEM,First year,30-39,2.857142857142857,2.0,3.0,3.1666666666666665
Female,30-39,Rural,Public County,STEM,First year,50-59,3.0,2.4444444444444446,3.5,3.1666666666666665
Female,40-49,Urban,Public County,Social Sciences,2-3 years,50-59,3.857142857142857,2.5555555555555554,3.5,3.3333333333333335
Male,30-39,Rural,Private,STEM,2-3 years,40-49,1.8571428571428572,3.3333333333333335,4.5,3.5
Female,20-29,Rural,Public Day,Social Sciences,4-5 years,30-39,2.5714285714285716,2.2222222222222223,3.5,2.5
Female,40-49,Urban,Public County,STEM,First year,40-49,5.0,2.888888888888889,2.1666666666666665,4.5
Female,40-49,Rural,Public County,STEM,4-5 years,60+,3.142857142857143,1.8888888888888888,2.6666666666666665,3.5
Male,50-59,Urban,Public County,STEM,First year,50-59,3.857142857142857,3.4444444444444446,2.3333333333333335,1.0
Male,40-49,Rural,Public National,Arts & Sports,2-3 years,30-39,3.0,1.5555555555555556,2.6666666666666665,2.3333333333333335
Female,30-39,Rural,Public Day,STEM,2-3 years,50-59,4.142857142857143,1.7777777777777777,1.6666666666666667,5.0
Male,50-59,Rural,Public County,Social Sciences,2-3 years,40-49,2.5714285714285716,1.6666666666666667,2.8333333333333335,3.5
Female,40-49,Peri-urban,Public County,Social Sciences,First year,40-49,2.5714285714285716,3.5555555555555554,2.6666666666666665,2.8333333333333335
Female,20-29,Urban,Public National,STEM,2-3 years,50-59,3.0,2.2222222222222223,4.0,3.1666666666666665
Male,40-49,Rural,Public County,Social Sciences,4-5 years,40-49,2.857142857142857,1.3333333333333333,3.0,3.6666666666666665
Female,50-59,Rural,Public Day,Social Sciences,2-3 years,50-59,3.2857142857142856,2.2222222222222223,1.3333333333333333,3.3333333333333335
Male,30-39,Rural,Public County,Social Sciences,2-3 years,50-59,2.7142857142857144,2.7777777777777777,2.8333333333333335,3.3333333333333335
Female,30-39,Rural,Private,Arts & Sports,4-5 years,50-59,4.142857142857143,2.3333333333333335,4.0,2.6666666666666665
Female,20-29,Urban,Public Day,STEM,4-5 years,30-39,3.142857142857143,3.4444444444444446,3.6666666666666665,2.3333333333333335
Male,30-39,Urban,Public County,STEM,2-3 years,50-59,3.142857142857143,3.3333333333333335,2.1666666666666665,2.0
